prototypes_per_class,validation_person,accuracy,balanced_accuracy,precision,recall,f1
16,person_1,0.9877324891175306,0.988912472205377,0.7709923664122137,0.9901960784313726,0.8669527896995708
16,person_2,0.9911471781630394,0.9954562665656947,0.7446808510638298,1.0,0.8536585365853658
16,person_3,0.9534192269573836,0.8952198626351938,0.5365853658536586,0.8301886792452831,0.6518518518518519
16,person_4,0.9859484777517564,0.8760330578512396,1.0,0.7520661157024794,0.8584905660377359
32,person_1,0.9889196675900277,0.9895310289064079,0.7890625,0.9901960784313726,0.8782608695652174
32,person_2,0.9959424566580598,0.9979174555092768,0.8641975308641975,1.0,0.9271523178807947
32,person_3,0.9836471754212092,0.9067162706244573,0.8613861386138614,0.8207547169811321,0.8405797101449275
32,person_4,0.985480093676815,0.8796687649265063,0.9787234042553191,0.7603305785123967,0.8558139534883721
64,person_1,0.9885239414325286,0.9940206185567011,0.7786259541984732,1.0,0.8755364806866953
64,person_2,0.9966801918111398,0.9982960999621355,0.8860759493670886,1.0,0.9395973154362416
64,person_3,0.9895936570862239,0.9098543459382649,0.9775280898876404,0.8207547169811321,0.8923076923076924
64,person_4,0.9864168618266979,0.8801652892561984,1.0,0.7603305785123967,0.863849765258216
128,person_1,0.9885239414325286,0.9940206185567011,0.7786259541984732,1.0,0.8755364806866953
128,person_2,0.9966801918111398,0.9982960999621355,0.8860759493670886,1.0,0.9395973154362416
128,person_3,0.9910802775024777,0.9240052893344912,0.9782608695652174,0.8490566037735849,0.9090909090909091
128,person_4,0.9868852459016394,0.884297520661157,1.0,0.768595041322314,0.8691588785046729
