k,validation_person,accuracy,balanced_accuracy,precision,recall,f1
3,person_1,0.9817965967550455,0.9811239134829189,0.6944444444444444,0.9803921568627451,0.8130081300813008
3,person_2,0.9538915529324973,0.9554741169470439,0.3544973544973545,0.9571428571428572,0.5173745173745173
3,person_3,0.9821605550049554,0.9371200757874794,0.7966101694915254,0.8867924528301887,0.8392857142857143
3,person_4,0.9864168618266979,0.8801652892561984,1.0,0.7603305785123967,0.863849765258216
5,person_1,0.9829837752275425,0.9864382454012532,0.7062937062937062,0.9901960784313726,0.8244897959183674
5,person_2,0.9542604205090373,0.962616974089901,0.35789473684210527,0.9714285714285714,0.5230769230769231
5,person_3,0.9826560951437067,0.93738158206363,0.8034188034188035,0.8867924528301887,0.8430493273542601
5,person_4,0.9864168618266979,0.8801652892561984,1.0,0.7603305785123967,0.863849765258216
7,person_1,0.9849624060150376,0.9874691732363048,0.7318840579710145,0.9901960784313726,0.8416666666666667
7,person_2,0.9535226853559572,0.9622383296370423,0.3541666666666667,0.9714285714285714,0.5190839694656488
7,person_3,0.9826560951437067,0.9329261072077051,0.808695652173913,0.8773584905660378,0.8416289592760181
7,person_4,0.9864168618266979,0.8801652892561984,1.0,0.7603305785123967,0.863849765258216
9,person_1,0.9853581321725366,0.9876753588033151,0.7372262773722628,0.9901960784313726,0.8451882845188284
9,person_2,0.9572113611213574,0.9710850868177638,0.375,0.9857142857142858,0.5433070866141733
9,person_3,0.9836471754212092,0.9334491197600063,0.8230088495575221,0.8773584905660378,0.8493150684931506
9,person_4,0.9864168618266979,0.8801652892561984,1.0,0.7603305785123967,0.863849765258216
11,person_1,0.9857538583300356,0.9878815443703255,0.7426470588235294,0.9901960784313726,0.8487394957983193
11,person_2,0.9575802286978975,0.9712744090441933,0.3770491803278688,0.9857142857142858,0.5454545454545454
11,person_3,0.9846382556987116,0.9339721323123076,0.8378378378378378,0.8773584905660378,0.8571428571428571
11,person_4,0.9859484777517564,0.8760330578512396,1.0,0.7520661157024794,0.8584905660377359
