feature,importance
gyro_x_rms,0.09025032534428175
gyro_mag_std,0.07812497637173484
gyro_x_std,0.07467328251325857
gyro_mag_rms,0.06511358856620422
gyro_mag_range,0.051357138507994074
gyro_mag_max,0.04991701378636954
gyro_x_range,0.04404124224531634
gyro_z_diff_std,0.04174406327642289
accel_z_std,0.04081010831774509
accel_z_max,0.04001646539658062
accel_z_range,0.03961062017824616
gyro_mag_mean,0.03654158116469319
gyro_x_iqr,0.02204187627277309
gyro_mag_iqr,0.021727608949714476
gyro_z_min,0.01877114423776421
gyro_mag_diff_std,0.017055745295167044
gyro_z_max,0.017006409822713127
accel_x_rms,0.01381803105384518
gyro_y_max,0.011510712640886931
gyro_z_std,0.010603789432010974
gyro_z_diff_abs_mean,0.010165124314948237
gyro_z_range,0.008864741185298843
gyro_x_min,0.008037523464732325
gyro_z_rms,0.007394797045078321
accel_z_iqr,0.00719889415627957
gyro_mag_diff_abs_mean,0.007085681743210545
gyro_y_range,0.006688319886307884
gyro_mag_median,0.005728999951849835
gyro_y_std,0.005302019766920133
accel_y_rms,0.004972508971376658
accel_z_mean,0.0046515728447070435
accel_z_min,0.004615285451131526
accel_z_diff_std,0.00458374425258804
accel_y_median,0.0044881814234716
acc_motion_mag_iqr,0.004393935915469779
gyro_x_diff_abs_mean,0.00423954632744294
accel_y_max,0.004197689607401377
accel_y_mean,0.004170179270188696
acc_mag_diff_abs_mean,0.00414090609933579
gyro_x_diff_std,0.0040812558637038955
acc_mag_rms,0.003896530076428779
acc_mag_mean,0.003796740864170808
acc_motion_mag_diff_std,0.003795510977890853
accel_z_rms,0.00367957494522149
accel_x_mean,0.0036727165282999276
accel_z_median,0.0036536958403990444
gyro_y_diff_std,0.003635489847555995
accel_y_diff_abs_mean,0.0035061381599899304
accel_y_min,0.0032328365164856925
acc_motion_mag_std,0.003209252371645715
gyro_y_rms,0.003091485315323049
accel_y_diff_std,0.0030551408708449695
acc_motion_mag_diff_abs_mean,0.0029835656437874015
acc_motion_mag_max,0.0029611756084002338
accel_x_max,0.002951896431365967
acc_mag_median,0.002817326688384316
acc_motion_mag_range,0.00274962856378092
acc_motion_mag_median,0.0026350592238026135
acc_motion_mag_mean,0.0025703805859500937
accel_x_median,0.00256811038383437
accel_x_diff_abs_mean,0.0025001854757754735
acc_mag_diff_std,0.0024946452881376966
accel_x_min,0.0023855424757647323
acc_motion_mag_rms,0.002249263060036274
accel_x_diff_std,0.0018719921995649315
accel_z_diff_abs_mean,0.0018217286141843834
gyro_mag_min,0.0015842269747875996
gyro_x_mean,0.0015480860751688147
accel_x_iqr,0.0014648688033315608
accel_x_std,0.001332333847493038
acc_mag_std,0.001328301018425836
gyro_y_mean,0.0013246037166757367
gyro_z_mean,0.0012748146145120163
accel_y_std,0.0012348670576010007
accel_y_iqr,0.0012211113460248047
acc_mag_max,0.0011303885063286194
accel_y_range,0.001117741231508002
acc_mag_iqr,0.001093893363410573
acc_mag_range,0.0008744679338943197
acc_mag_min,0.0008499420448015273
gyro_y_median,0.0007613025371906073
gyro_z_median,0.000749132280983131
gyro_y_min,0.0007197283626462679
accel_x_range,0.0006970229624779504
gyro_x_max,0.0004354058430300801
acc_motion_mag_min,0.0004078727053337541
gyro_y_iqr,0.00037975987437007317
gyro_z_iqr,0.0003742767292408202
gyro_y_diff_abs_mean,0.00032062276344340567
gyro_x_median,0.00025298593512938794
